Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
"182"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"183"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"184"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"185"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"186"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"187"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"188"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"189"",""Hevea brasiliensis",Hevea brasiliensis,,0.9,Accepted,Hevea brasiliensis,(Willd. ex A.Juss.) M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
"190"",""Hevea brasiliensis",Hevea brasiliensis,,0.9,Accepted,Hevea brasiliensis,(Willd. ex A.Juss.) M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
"191"",""Hevea brasiliensis",Hevea brasiliensis,,0.9,Accepted,Hevea brasiliensis,(Willd. ex A.Juss.) M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
"192"",""Hevea brasiliensis",Hevea brasiliensis,,0.9,Accepted,Hevea brasiliensis,(Willd. ex A.Juss.) M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
