"","family","genus","species","meanWD","sdWD","levelWD","nInd"
"23999","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24027","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24031","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24063","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24025","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23998","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24006","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24019","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24056","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24032","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24072","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24001","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24084","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24047","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24067","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24076","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24005","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23981","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23983","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24049","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23970","Elaeocarpaceae","Sloanea","stipitata",0.609456770833333,0.0941339098036177,"genus",32
"23971","Elaeocarpaceae","Sloanea","synandra",0.653,0.0708232617216773,"species",1
"23972","Elaeocarpaceae","Sloanea","terniflora",0.609456770833333,0.0941339098036177,"genus",32
"23973","Elaeocarpaceae","Sloanea","tomentosa",0.609456770833333,0.0941339098036177,"genus",32
"23974","Elaeocarpaceae","Sloanea","trichosticha",0.609456770833333,0.0941339098036177,"genus",32
"23975","Elaeocarpaceae","Sloanea","tuerckheimii",0.609456770833333,0.0941339098036177,"genus",32
"23976","Elaeocarpaceae","Sloanea","usurpatrix",0.609456770833333,0.0941339098036177,"genus",32
"23977","Elaeocarpaceae","Sloanea","woollsii",0.519,0.0708232617216773,"species",2
"23978","Elaeocarpaceae","Sloanea","zuliaensis",0.609456770833333,0.0941339098036177,"genus",32
"23979","Elaeocarpaceae","Sloanea","zuliaensis",0.609456770833333,0.0941339098036177,"genus",32
"24087",NA,"Smeathmannia","pubescens",0.611246215561075,0.124033048371268,"dataset",20776
"24088",NA,"Smilax","australis",0.611246215561075,0.124033048371268,"dataset",20776
"24089",NA,"Smilax","bracteata",0.611246215561075,0.124033048371268,"dataset",20776
"24090",NA,"Smilax","calophylla",0.611246215561075,0.124033048371268,"dataset",20776
"17214",NA,"No","suitable",0.611246215561075,0.124033048371268,"dataset",20776
"24091",NA,"Smilax","laurifolia",0.611246215561075,0.124033048371268,"dataset",20776
"24106",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24099",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24105",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24095",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24096",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24093",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24092",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24100",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24108",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24101",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24098",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24102",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24097",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24107",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24103",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24104",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24094",NA,"Smilax",NA,0.611246215561075,0.124033048371268,"dataset",20776
"24109","Arecaceae","Socratea","durissima",0.23,0.0941339098036177,"genus",1
"24110","Arecaceae","Socratea","exorrhiza",0.23,0.0708232617216773,"species",1
"24111","Arecaceae","Socratea","salazarii",0.23,0.0941339098036177,"genus",1
"24116","Arecaceae","Socratea",NA,0.23,0.0941339098036177,"genus",1
"24112","Arecaceae","Socratea",NA,0.23,0.0941339098036177,"genus",1
"24117","Arecaceae","Socratea",NA,0.23,0.0941339098036177,"genus",1
"24122","Arecaceae","Socratea",NA,0.23,0.0941339098036177,"genus",1
"24119","Arecaceae","Socratea",NA,0.23,0.0941339098036177,"genus",1
"24121","Arecaceae","Socratea",NA,0.23,0.0941339098036177,"genus",1
"24123","Arecaceae","Socratea",NA,0.23,0.0941339098036177,"genus",1
"24120","Arecaceae","Socratea",NA,0.23,0.0941339098036177,"genus",1
"24114","Arecaceae","Socratea",NA,0.23,0.0941339098036177,"genus",1
