"","LAT","LON","binomial","levelWD","biomass","DBH","quantity","biomass_portion","DBH_portion","abundacne_frequency"
"113",-0.875030976841072,28.3763082592924,"Myrianthus holstii","species",3.17770321736585,178.901550533818,6,0.0144802951408067,0.0163412606298909,0.016304347826087
"117",-0.875030976841072,28.3763082592924,"Newtonia buchananii","species",3.60548090184013,201.531390238373,7,0.0164296109522981,0.0184083199008775,0.0190217391304348
"120",-0.875030976841072,28.3763082592924,"Ocotea usambarensis","species",2.825869681004,146.187328700171,5,0.0128770449004723,0.0133530717422455,0.0135869565217391
"122",-0.875030976841072,28.3763082592924,"Parinari excelsa","species",1.11989034562638,35.019104728312,1,0.00510316465093066,0.00319872195452335,0.00271739130434783
"124",-0.875030976841072,28.3763082592924,"Polyscias fulva","species",0.517482947773062,73.937285270302,3,0.00235808862613046,0.00675359405920972,0.00815217391304348
"128",-0.875030976841072,28.3763082592924,"Pouteria altissima","species",0.45978085299041,29.0339161136428,1,0.0020951492307428,0.00265202167842443,0.00271739130434783
"130",-0.875030976841072,28.3763082592924,"Prunus africana","species",3.70964133036041,149.292835443008,5,0.0169042536875681,0.0136367355501955,0.0135869565217391
"132",-0.875030976841072,28.3763082592924,"Sapium ellipticum","species",20.0697941504154,995.838067864956,34,0.0914549040089895,0.0909620367380334,0.0923913043478261
"136",-0.875030976841072,28.3763082592924,"Strombosia scheffleri","species",1.39356044118112,61.4899948686945,2,0.0063502363513931,0.00561663121019206,0.00543478260869565
"138",-0.875030976841072,28.3763082592924,"Syzygium guineense","species",4.0990158332905,180.001573568564,6,0.0186785722242772,0.0164417391503735,0.016304347826087
"7",7.00896713972814,34.232346531241,"Leptonychia mildbraedii","dataset",0.811739305541237,62.267878093936,2,0.141162869805809,0.150186083747095,0.166666666666667
"57",7.00896713972814,34.232346531241,"Psychotria mahoni","genus",0.532764623302026,34.0425253916464,1,0.0926486898477585,0.0821083635083802,0.0833333333333333
"60",7.00896713972814,34.232346531241,"Psychotria mahonii","genus",0.591352401907748,35.5124771902171,1,0.102837205923146,0.085653791916769,0.0833333333333333
"72",7.00896713972814,34.232346531241,"Alangium chinense","species",0.363365353312926,33.0788504895146,1,0.0631898636809927,0.079784042140978,0.0833333333333333
"83",7.00896713972814,34.232346531241,"Carapa grandiflora","species",0.61618251060013,36.4408430701117,1,0.10715520478889,0.0878929502124068,0.0833333333333333
"106",7.00896713972814,34.232346531241,"Maesa lanceolata","species",1.54238777183002,73.5746221088512,2,0.268223902352172,0.177457217042649,0.166666666666667
"125",7.00896713972814,34.232346531241,"Polyscias fulva","species",0.829365144406408,107.245981242131,3,0.144228033682879,0.258670351606837,0.25
"133",7.00896713972814,34.232346531241,"Sapium ellipticum","species",0.463216954587875,32.4416682180255,1,0.0805542299183515,0.0782471998248859,0.0833333333333333
"8",7.01642066284844,34.2337475212155,"Leptonychia mildbraedii","dataset",0.888466486267393,42.7892261566662,1,0.0730209145923032,0.0565236234907623,0.0476190476190476
"19",7.01642066284844,34.2337475212155,"Xymalos monospora","dataset",0.610443581481463,36.7254155529607,1,0.0501708835569542,0.0485134634979589,0.0476190476190476
"20",7.01642066284844,34.2337475212155,"unknown sppET1","dataset",0.439264892330482,32.1428396532243,1,0.0361021205436982,0.0424599818615731,0.0476190476190476
"23",7.01642066284844,34.2337475212155,"unknown sppTEAM2","dataset",0.636345018422607,37.3504954320083,1,0.0522996600993796,0.0493391802240706,0.0476190476190476
"26",7.01642066284844,34.2337475212155,"unknown sppTEAM9","dataset",1.23335234086646,73.4465821701986,2,0.101366249978643,0.0970213142455925,0.0952380952380952
"30",7.01642066284844,34.2337475212155,"Cassipourea gummifera","genus",0.722516688129718,36.4878615429013,1,0.0593819015020851,0.0481996598929543,0.0476190476190476
"37",7.01642066284844,34.2337475212155,"Drypetes sppTEAM3","genus",0.484931274858128,30.3026928133612,1,0.039855330225585,0.040029188494025,0.0476190476190476
"48",7.01642066284844,34.2337475212155,"Macaranga barteri","genus",0.449118016787756,36.7064486834598,1,0.03691192504458,0.0484884086819045,0.0476190476190476
"51",7.01642066284844,34.2337475212155,"Millettia dura","genus",0.569243961243914,32.2898528632537,1,0.046784786279115,0.0426541830677702,0.0476190476190476
"61",7.01642066284844,34.2337475212155,"Psychotria mahonii","genus",1.44312237899258,76.9332969728332,2,0.118606742754441,0.101627187555902,0.0952380952380952
"73",7.01642066284844,34.2337475212155,"Alangium chinense","species",0.350956680473018,32.5938480934588,1,0.0288442819020477,0.0430557540583787,0.0476190476190476
"84",7.01642066284844,34.2337475212155,"Carapa grandiflora","species",0.809933548083248,40.6975688311145,1,0.0665664820836343,0.0537605903218916,0.0476190476190476
"86",7.01642066284844,34.2337475212155,"Clausena anisata","species",0.432160895946915,33.1300541125734,1,0.0355182602392225,0.0437640703767656,0.0476190476190476
"101",7.01642066284844,34.2337475212155,"Ilex mitis","species",1.24899382372203,72.8407079413127,2,0.102651785675653,0.0962209677595187,0.0952380952380952
"114",7.01642066284844,34.2337475212155,"Myrianthus holstii","species",0.374721768437216,31.5943514636115,1,0.0307974770819839,0.041735441066998,0.0476190476190476
"118",7.01642066284844,34.2337475212155,"Newtonia buchananii","species",0.338577394032735,29.5773466615467,1,0.0278268582492241,0.0390710222342398,0.0476190476190476
"126",7.01642066284844,34.2337475212155,"Polyscias fulva","species",0.42214234070514,42.7935629490826,1,0.0346948593817279,0.056529352297841,0.0476190476190476
"134",7.01642066284844,34.2337475212155,"Sapium ellipticum","species",0.712996750352889,38.6127653057751,1,0.058599480809723,0.0510066108718532,0.0476190476190476
