"","V1","PLT","TPH","FID","LAT","LON","SPCD","DBH","Year","WWF_Biome"
"203",33298,"GAB-RLE20",1,139322,-1.3987,13.73054,"Mammea africana",24.39999962,2006,7
"204",33299,"GAB-RLE20",1,139321,-1.3987,13.73054,"Mammea africana",24.60000038,2006,7
"205",33300,"GAB-RLE20",1,139320,-1.3987,13.73054,"Mammea africana",25.03000069,2004,7
"206",33301,"GAB-RLE20",1,139319,-1.3987,13.73054,"Mammea africana",25.39999962,2006,7
"207",33302,"GAB-RLE20",1,139318,-1.3987,13.73054,"Mammea africana",26.03000069,2004,7
"208",33303,"GAB-RLE20",1,139317,-1.3987,13.73054,"Mammea africana",26.05999947,2004,7
"209",33304,"GAB-RLE20",1,139316,-1.3987,13.73054,"Mammea africana",26.60000038,2006,7
"210",33305,"GAB-RLE20",1,139315,-1.3987,13.73054,"Mammea africana",26.79999924,2006,7
"211",33306,"GAB-RLE20",1,139314,-1.3987,13.73054,"Mammea africana",27.29999924,2004,7
"212",33307,"GAB-RLE20",1,139313,-1.3987,13.73054,"Mammea africana",27.39999962,2004,7
"213",33308,"GAB-RLE20",1,139312,-1.3987,13.73054,"Mammea africana",27.60000038,2004,7
"214",33309,"GAB-RLE20",1,139311,-1.3987,13.73054,"Mammea africana",27.70000076,2006,7
"215",33310,"GAB-RLE20",1,139310,-1.3987,13.73054,"Mammea africana",27.79999924,2004,7
"216",33311,"GAB-RLE20",1,139309,-1.3987,13.73054,"Mammea africana",28.03000069,2004,7
"217",33312,"GAB-RLE20",1,139308,-1.3987,13.73054,"Mammea africana",28.04999924,2004,7
"218",33313,"GAB-RLE20",1,139307,-1.3987,13.73054,"Mammea africana",28.60000038,2004,7
"219",33314,"GAB-RLE20",1,139306,-1.3987,13.73054,"Mammea africana",28.70000076,2006,7
"220",33315,"GAB-RLE20",1,139304,-1.3987,13.73054,"Mammea africana",28.79999924,2006,7
"221",33316,"GAB-RLE20",1,139305,-1.3987,13.73054,"Mammea africana",28.79999924,2006,7
"222",33317,"GAB-RLE20",1,139302,-1.3987,13.73054,"Mammea africana",29.05999947,2004,7
"223",33318,"GAB-RLE20",1,139300,-1.3987,13.73054,"Mammea africana",29.07999992,2004,7
"224",33319,"GAB-RLE20",1,139301,-1.3987,13.73054,"Mammea africana",29.07999992,2004,7
"225",33320,"GAB-RLE20",1,139299,-1.3987,13.73054,"Mammea africana",29.39999962,2006,7
"226",33321,"GAB-RLE20",1,139297,-1.3987,13.73054,"Mammea africana",29.60000038,2004,7
"227",33322,"GAB-RLE20",1,139296,-1.3987,13.73054,"Mammea africana",29.70000076,2006,7
"228",33323,"GAB-RLE20",1,139295,-1.3987,13.73054,"Mammea africana",29.89999962,2006,7
"229",33324,"GAB-RLE20",1,139303,-1.3987,13.73054,"Mammea africana",29,2006,7
"230",33325,"GAB-RLE20",1,139294,-1.3987,13.73054,"Mammea africana",30.07999992,2004,7
"231",33326,"GAB-RLE20",1,139293,-1.3987,13.73054,"Mammea africana",30.20000076,2006,7
"232",33327,"GAB-RLE20",1,139291,-1.3987,13.73054,"Mammea africana",30.39999962,2006,7
"233",33328,"GAB-RLE20",1,139290,-1.3987,13.73054,"Mammea africana",30.5,2006,7
"234",33329,"GAB-RLE20",1,139289,-1.3987,13.73054,"Mammea africana",31.10000038,2006,7
"235",33330,"GAB-RLE20",1,139288,-1.3987,13.73054,"Mammea africana",31.5,2004,7
"236",33331,"GAB-RLE20",1,139287,-1.3987,13.73054,"Mammea africana",32.79999924,2006,7
"237",33332,"GAB-RLE20",1,139286,-1.3987,13.73054,"Mammea africana",34.40000153,2004,7
"238",33333,"GAB-RLE20",1,139283,-1.3987,13.73054,"Mammea africana",34.70000076,2006,7
"239",33334,"GAB-RLE20",1,139284,-1.3987,13.73054,"Mammea africana",34.70000076,2004,7
"240",33335,"GAB-RLE20",1,139285,-1.3987,13.73054,"Mammea africana",34.70000076,2006,7
"241",33336,"GAB-RLE20",1,139282,-1.3987,13.73054,"Mammea africana",35.09000015,2004,7
"242",33337,"GAB-RLE20",1,139281,-1.3987,13.73054,"Mammea africana",36.20000076,2004,7
"243",33338,"GAB-RLE20",1,139280,-1.3987,13.73054,"Mammea africana",36.5,2006,7
"244",33339,"GAB-RLE20",1,139279,-1.3987,13.73054,"Mammea africana",36.70000076,2006,7
"245",33340,"GAB-RLE20",1,139278,-1.3987,13.73054,"Mammea africana",37.00999832,2004,7
"246",33341,"GAB-RLE20",1,139277,-1.3987,13.73054,"Mammea africana",37.59999847,2006,7
"247",33342,"GAB-RLE20",1,139276,-1.3987,13.73054,"Mammea africana",38.59999847,2004,7
"248",33343,"GAB-RLE20",1,139275,-1.3987,13.73054,"Mammea africana",38.70000076,2004,7
"249",33344,"GAB-RLE20",1,139274,-1.3987,13.73054,"Mammea africana",38.90000153,2006,7
"250",33345,"GAB-RLE20",1,139271,-1.3987,13.73054,"Mammea africana",39.04999924,2004,7
"251",33346,"GAB-RLE20",1,139272,-1.3987,13.73054,"Mammea africana",39.04999924,2004,7
"252",33347,"GAB-RLE20",1,139273,-1.3987,13.73054,"Mammea africana",39,2006,7
"253",33348,"GAB-RLE20",1,139270,-1.3987,13.73054,"Mammea africana",40.40000153,2006,7
"254",33349,"GAB-RLE20",1,139269,-1.3987,13.73054,"Mammea africana",41.70000076,2004,7
"255",33350,"GAB-RLE20",1,139268,-1.3987,13.73054,"Mammea africana",42.06000137,2004,7
"256",33351,"GAB-RLE20",1,139267,-1.3987,13.73054,"Mammea africana",42.90000153,2004,7
